Galaxy,fDM_outer_mean,fDM_last,bulge_frac_outer,npts,logL,logM,e_M,gW1,ML,Reff,Rdisk,SBeff,Q,fDM_2Reff,fDM_2p2Rdisk
UGC06667,0.8449981628611463,0.840112574188269,0.0,9,9.042,8.78,0.017,2.34,0.55,3.5,5.15,18.06,1,0.8377977332808663,
UGC06786,0.7405014234887612,0.7635453471395521,0.2240508253001429,45,10.843,10.837,0.013,3.76,0.99,3.42,3.6,992.73,1,0.12095673468224571,0.20069502672572703
UGC06787,0.7592200934221088,0.7998345344098424,0.4210470307673784,71,10.845,10.853,0.002,3.81,1.02,2.88,5.37,1891.6,2,-0.016103987916520752,0.4115562499375856
UGC06818,0.6540513725622555,0.7028575196554515,0.0,8,9.168,8.913,0.046,2.96,0.56,2.12,1.39,56.08,2,0.4982214194604808,-0.039701883056045745
UGC06917,0.5925947078347921,0.5956906338771204,0.0,11,10.274,10.019,0.009,2.96,0.56,4.52,2.76,53.07,1,0.5866954062466458,0.5422821263503896
UGC06923,0.4296776533015144,0.44635996113853726,0.0,6,9.403,9.142,0.034,2.93,0.55,1.66,1.44,166.28,2,0.35750687254379665,0.3446321816843669
UGC06930,0.593268627114769,0.6338056927297668,0.0,10,10.014,9.749,0.019,2.73,0.54,4.38,3.94,73.93,1,0.4932176434481316,0.4930929048441195
UGC06973,-0.1542381426662125,0.012888280864197466,0.12415792070252833,9,10.691,10.346,0.003,4.78,0.45,1.61,1.07,3317.65,3,-1.0,-1.0
UGC06983,0.6987303114096188,0.7301230367814157,0.0,17,9.711,9.446,0.034,2.81,0.54,3.95,3.21,53.56,1,0.6539445731737741,0.6445958142385387
UGC07089,0.4904183702566412,0.5577282992451424,0.0,12,9.525,9.36,0.029,3.22,0.68,3.9,2.26,37.4,2,0.46320889034470003,0.2811663708510599
UGC07125,0.4747530993241099,0.5557194546071829,0.0,13,9.382,9.222,0.045,3.23,0.69,3.92,3.38,28.11,1,0.45878051700839007,0.4572931666650899
