row_index,CID,IDSURVEY,RA,DEC,zHD,zCMB,environment_method,catalog_source,environment_label,void_label,filament_label,nearest_void_id,nearest_void_sample,nearest_void_distance_mpc_h,nearest_void_radius_mpc_h,void_distance_over_radius,nearest_filament_id,nearest_filament_point_id,nearest_filament_distance_mpc_h,coverage_flag,notes
15,2005df,50,64.4077,-62.7693,0.00407,0.00435,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,20.865091242635717,4.24,4.92101208552729,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
16,2005df_ANU,50,64.4077,-62.7693,0.00407,0.00435,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,20.865091242635717,4.24,4.92101208552729,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
17,2013dy,51,334.573,40.5693,0.00432,0.00293,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,20.426628991598776,4.24,4.817601177263862,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
18,2013dy,56,334.573,40.5693,0.00432,0.00293,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,20.426628991598776,4.24,4.817601177263862,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
19,2012ht,56,163.345,16.7764,0.00465,0.00465,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,8.902042754633667,4.24,2.099538385526808,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
20,2012ht,5,163.345,16.7764,0.00465,0.00465,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,8.902042754633667,4.24,2.099538385526808,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
21,1980N,50,50.7513,-37.2139,0.00482,0.0046,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,24.99014228952695,4.24,5.893901483378998,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
22,2012fr,56,53.4,-36.1271,0.00483,0.0046,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,24.947047786040297,4.24,5.883737685386862,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
23,2007on,5,54.7125,-35.5753,0.00483,0.0046,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,24.90614918267414,4.24,5.874091788366543,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
24,2012fr,5,53.4,-36.1271,0.00483,0.0046,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,sdss_nonvoid,not_void,outside_filament_catalog_redshift,14207.0,dim1,24.947047786040297,4.24,5.883737685386862,,,,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
