delay_us,tau_early,tau_late,v_early_true,v_late_true,v_early_meas,v_late_meas,late_minus_early
10.0,11.5,8.5,0.6229054635198573,0.6856688349808538,0.622640259398481,0.686762370983913,0.06412211158543202
20.0,23.0,17.0,0.431123573869876,0.5223797236266682,0.41992140083278456,0.5386741849440009,0.11875278411121631
40.0,46.0,34.0,0.20651948438481602,0.30320063961808236,0.2145122296677968,0.3083491944940955,0.09383696482629869
80.0,92.0,68.0,0.04738921936730029,0.10214514207201585,0.05077558001670853,0.09665251824485277,0.04587693822814424
