a_value,v_true,v_meas,fitted
0.0,0.4043960677054994,0.40908599823896236,0.3958443814746693
0.1,0.3808458740859739,0.36901082505530786,0.37771226270486397
0.2,0.3586671369760628,0.3691890082637925,0.35958014393505855
0.30000000000000004,0.33777998896625955,0.3371996617317007,0.3414480251652532
0.4,0.31810921376290213,0.3160239229917911,0.32331590639544777
0.5,0.2995839753282716,0.29212993971701395,0.3051837876256424
0.6000000000000001,0.28213756279434477,0.2951250162467242,0.287051668855837
0.7000000000000001,0.2657071502316128,0.26411405049649506,0.26891955008603163
0.8,0.25023357040787475,0.2459482917592926,0.2507874313162263
0.9,0.2356611017222934,0.23224224143850042,0.23265531254642088
1.0,0.2219372675474458,0.22695270794248484,0.2145231937766155
