Galaxy,fDM_outer_mean,fDM_last,bulge_frac_outer,npts,logL,logM,e_M,gW1,ML,Reff,Rdisk,SBeff,Q,fDM_2Reff,fDM_2p2Rdisk,Rmax,Rhalf_split,fDM_inner_half_mean,fDM_outer_half_mean,n_inner_half,n_outer_half,fDM_outer_minus_inner_half,fDM_inner_Reff_mean,fDM_outer_Reff_mean,n_inner_Reff,n_outer_Reff,fDM_outer_minus_inner_Reff
UGC07261,0.6292210091504906,0.6341122494262856,0.0,7,9.327,9.063,0.02,2.74,0.54,2.66,1.2,39.16,2,0.6045149400840375,0.3905176638100786,6.67,3.335,0.4619933373290072,0.5745104671440454,3,4,0.1125171298150382,0.48992164794912046,0.5408357169329925,2.0,5.0,0.05091406898387202
UGC07323,0.3432544351521859,0.3817697915756834,0.0,10,9.69,9.424,0.014,2.83,0.54,3.26,2.26,61.49,1,,0.3252331882239496,5.82,2.91,0.05493691214592464,0.2968067454422931,4,6,0.24186983329636844,0.0734028846362571,0.32671473961123426,5.0,5.0,0.25331185497497716
UGC07399,0.8464438269432822,0.8560960306158776,0.0,10,8.991,8.726,0.035,2.85,0.54,1.27,1.64,113.98,1,0.7930172897282544,0.8141872008992499,6.13,3.065,0.6965149166386229,0.8302799211597058,4,6,0.13376500452108298,0.6102246319362568,0.8184112412050266,2.0,8.0,0.20818660926876986
UGC07603,0.8050023108195644,0.8216577880859375,0.0,12,8.526,8.262,0.03,2.88,0.54,0.85,0.53,81.81,1,0.6229584713786519,0.4781255657268685,4.11,2.055,0.4066774311395946,0.7724957009149115,6,6,0.3658182697753169,0.0802466183049963,0.6914545555717042,2.0,10.0,0.6112079372667079
UGC07690,0.5059297374905272,0.5288488900125128,0.0,7,8.901,8.637,0.04,2.64,0.54,0.86,0.57,184.01,2,0.3705795976133806,0.3045664531646488,4.13,2.065,0.21419114587142363,0.4573215242776892,3,4,0.24313037840626556,-0.029172794565540672,0.4168387215484281,1.0,6.0,0.4460115161139688
UGC07866,0.5428189970897408,0.5683152764213544,0.0,7,7.974,7.713,0.049,2.18,0.55,0.95,0.61,21.92,2,0.5049147166401218,0.4327035531662259,2.32,1.16,0.4359926568240092,0.49828001936974,3,4,0.06228736254573081,0.4380460745726851,0.48500117976112345,2.0,5.0,0.04695510518843837
UGC08286,0.7863530159380738,0.7967148901919231,0.0,17,9.062,8.99,0.014,3.55,0.85,2.25,1.05,39.52,1,0.699450989069966,0.6985748923984448,8.04,4.02,0.672472853384856,0.7569116898670579,8,9,0.08443883648220196,0.6532997042863418,0.7368299399028463,4.0,13.0,0.08353023561650452
UGC08490,0.8308670896863045,0.8426954910192369,0.0,30,9.01,8.745,0.021,2.67,0.54,1.14,0.67,124.98,1,0.6189718516596291,0.5276912545121538,10.15,5.075,0.6002234252436686,0.8129033599859539,14,16,0.2126799347422853,0.4217943228227881,0.746081434989565,3.0,27.0,0.3242871121667769
UGC08550,0.7896335436138555,0.7797545557655955,0.0,11,8.47,8.382,0.018,3.46,0.81,1.01,0.45,45.38,1,0.624361957200336,0.5958532837250097,5.36,2.68,0.6023353680590894,0.789009593477264,5,6,0.18667422541817458,0.556360520415225,0.7370014844809535,2.0,9.0,0.1806409640657285
UGC08699,0.6568708759755691,0.6979588222998596,0.2420205441799291,41,10.666,10.711,0.007,3.99,1.11,1.91,3.09,2191.95,2,-0.1098900347362078,0.1775705619490483,25.7,12.85,-0.05063134515765853,0.5560927490607498,34,7,0.6067240942184083,-0.584873263402927,0.20758089743297803,8.0,33.0,0.792454160835905
UGC08837,0.4813441857810296,0.4822662326388889,0.0,8,8.643,8.527,0.04,3.36,0.77,2.25,1.72,15.73,2,,0.4807909576663141,4.2,2.1,-0.3220986422880295,0.40652532209465625,4,4,0.7286239643826857,-0.3220986422880295,0.40652532209465625,4.0,4.0,0.7286239643826857
UGC09037,0.3009678133390304,0.3508188841759002,0.0,22,10.734,10.595,0.019,3.29,0.73,5.69,4.28,334.83,2,-0.2758557290068427,-0.4534525152167514,27.96,13.98,-0.5949100218452213,0.22012991953632566,10,12,0.815039941381547,-1.0,-0.01618637810612137,3.0,19.0,0.9838136218938787
UGC09133,0.6774126558111068,0.732817196468412,0.2307420573360445,68,11.428,11.47,0.011,3.96,1.1,5.92,6.97,1284.78,1,-0.0344376472145767,0.0643183798551506,108.31,54.155,-0.11250975189885952,0.640365562710935,51,17,0.7528753146097945,-0.3904283963376675,0.24351856706644148,18.0,50.0,0.633946963404109
UGC09992,0.297112524373936,0.3249368885413389,0.0,5,8.384,8.138,0.058,3.0,0.57,1.62,1.04,20.18,2,0.2779606892976716,0.3239435354063415,3.89,1.945,0.37666053482450257,0.30597412858476664,2,3,-0.07068640623973593,0.37666053482450257,0.30597412858476664,2.0,3.0,-0.07068640623973593
UGC10310,0.5655506951013669,0.5872688606706681,0.0,7,9.259,8.995,0.036,2.59,0.54,3.12,1.8,28.37,1,0.5472921719453682,0.6094276891942867,7.74,3.87,0.581605407200149,0.5744093372610883,3,4,-0.007196069939060634,0.5702297899886382,0.5803987981335048,2.0,5.0,0.010169008144866654
UGC11455,0.2829290432984183,0.3692725846571316,0.0,36,11.512,11.266,0.005,3.0,0.57,10.06,5.93,571.26,1,-0.1115867216333747,-0.3445852495413747,41.93,20.965,-0.45961963013130863,0.12591193148325436,26,10,0.585531561614563,-0.5717941398624983,-0.07711424153907542,16.0,20.0,0.49467989832342285
UGC11820,0.7696594992091002,0.7839652317909813,0.0,10,8.785,8.566,0.102,3.09,0.6,2.74,2.08,20.18,1,0.7167198982760461,0.7127775270822484,15.82,7.91,0.6189336937604745,0.7382489314299854,6,4,0.11931523766951091,0.5991869819357554,0.7341325957208025,5.0,5.0,0.1349456137850471
UGC11914,0.2184652042363204,0.2856511625907014,0.2470069731621183,65,11.27,10.975,0.008,4.2,0.51,3.12,2.44,2425.66,1,-0.1042208889832284,-0.1354885709405012,9.83,4.915,-0.15418277838489505,-0.08159287042114519,42,23,0.07258990796374987,-0.15096018220438304,-0.1092430641634412,30.0,35.0,0.04171711804094183
UGC12732,0.7509075493970329,0.7498924510620575,0.0,16,9.37,9.114,0.054,2.96,0.55,3.12,1.98,26.84,1,0.7363985157951184,0.7110720617593844,15.4,7.7,0.6982689574948013,0.760974247479681,8,8,0.06270528998487968,0.6421085815000543,0.749816915022746,3.0,13.0,0.1077083335226916
UGCA442,0.8641912572951029,0.8767806719398543,0.0,8,8.08,7.828,0.06,0.84,0.56,1.71,1.18,7.6,1,0.7486613700158491,0.6927553590627088,6.33,3.165,0.6984484228018238,0.8277709126820811,4,4,0.1293224898802573,0.7082185959599958,0.7814066916692713,2.0,6.0,0.07318809570927554
