row_index,CID,IDSURVEY,RA,DEC,zHD,zCMB,environment_method,catalog_source,environment_label,void_label,filament_label,nearest_void_id,nearest_void_sample,nearest_void_distance_mpc_h,nearest_void_radius_mpc_h,void_distance_over_radius,nearest_filament_id,nearest_filament_point_id,nearest_filament_distance_mpc_h,coverage_flag,notes
362,AT2016bln,150,203.689,13.8539,0.02429,0.02425,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,13599,dim1,19.392258427518865,3.88,4.998004749360533,6222,170406,58.76459929093314,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
363,2006ac,57,190.437,35.0686,0.02432,0.02395,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,19494,dim1,19.209098715486586,8.55,2.246678212337612,2779,98188,47.96060902460686,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
364,2006ac,64,190.437,35.0686,0.02432,0.02395,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,19494,dim1,19.209098715486586,8.55,2.246678212337612,2779,98188,47.96060902460686,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
365,ASASSN-15sf,150,2.865,-6.4273,0.02432,0.02349,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,14207,dim1,83.62988128638712,4.24,19.72402860527998,1122,46570,33.99790277535735,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
366,2005bg,5,184.322,16.3716,0.02434,0.02414,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,19494,dim1,14.745696949066177,8.55,1.7246429180194358,2779,98185,38.680320785146286,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
367,2009D,5,58.5951,-19.1817,0.02453,0.02476,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,41435,bright1,297.74821783693295,15.24,19.537284634969353,5432,156445,1.9915266299689174,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
368,2009D,51,58.5951,-19.1817,0.02453,0.02476,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,41435,bright1,297.74821783693295,15.24,19.537284634969353,5432,156445,1.9915266299689174,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
369,2009D,65,58.5951,-19.1817,0.02453,0.02476,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,41435,bright1,297.74821783693295,15.24,19.537284634969353,5432,156445,1.9915266299689174,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
370,PS16ccn,150,273.122,31.2799,0.02457,0.02395,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,field_or_wall,not_void,field_or_wall,12137,dim1,34.113792984610726,3.63,9.397739114217831,8750,206904,83.49892218942121,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
371,2008bf,57,181.012,20.2452,0.02462,0.02451,sdss_void_filament_crossmatch_v0.1_local_generated_2026-06-30,SDSS void catalog 2014.06.18 plus Tempel/Bisous SDSS filament catalog J/MNRAS/438/3465,void,void,field_or_wall,19494,dim1,8.395447758134521,8.55,0.9819237144016983,7648,192236,35.289878861419815,derived_crossmatch,"Derived void+filament cross-match; preliminary, not official Pantheon+ metadata."
