test,n,partial_r,p_value,controls
Vmax_only,175,0.2891274690009348,0.00010420035322977052,logVmax
Rmax_only,175,0.22274859411580106,0.0030476903395637587,logRmax
SB0_only,175,0.15546664854885228,0.03993699119039541,logSB0
Vmax_Rmax,175,0.26447462097564256,0.000405028111699492,logVmax+logRmax
Vmax_Rmax_SB0,175,0.10705336536447543,0.1585132622959302,logVmax+logRmax+logSB0
