model,n,beta_age,se_age,t_age,p_age
fdm ~ age_best,175,0.02384169003400536,0.00883670954007703,2.6980280302160446,0.007666087023335599
fdm ~ age_best + logVmax,175,0.03797706897265929,0.00958763877502699,3.9610450355700206,0.00010913353388453118
fdm ~ age_best + logRmax,175,0.026148644576749876,0.008726082829999518,2.9966074223880956,0.0031339341378175956
fdm ~ age_best + logVmax + logRmax,175,0.041343031126386764,0.011528535616275343,3.586147668921713,0.0004377325155506817
fdm ~ age_best + logVmax + logRmax + logSB0,175,0.018405721178233303,0.013110675979790647,1.4038727832649258,0.16218088594463387
