mass_bin,n,pearson_r,p_value,old_minus_young_mean,boot_ci_low,boot_ci_high
lowV,59,0.11548563722850204,0.38375322693456,0.03649088811008938,-0.11551103963361005,0.16008426435746254
midV,58,0.4563718599048325,0.0003174785426140005,0.09041938476041678,0.0153510015524066,0.17668045125553322
highV,58,0.2765975357120409,0.03556682007255807,0.09328976509019216,0.01318966040095108,0.17073915397965225
