theta_rad,time,measurement_strength,pointer_trace_distance_t0,quantum_mutual_info_bits_t0,holevo_bits_t0,retention_factor,pointer_trace_distance_t,holevo_bits_t,persistence_ratio,omega_event,omega_persistent
0,0,0,0,6.40685300763e-16,0,1,0,0,0,0,0
0,0.5,0,0,6.40685300763e-16,0,0.778800783071,0,0,0,0,0
0,1,0,0,6.40685300763e-16,0,0.606530659713,0,0,0,0,0
0,2,0,0,6.40685300763e-16,0,0.367879441171,0,0,0,0,0
0,4,0,0,6.40685300763e-16,0,0.135335283237,0,0,0,0,0
0.196349540849,0,0.0380602337444,0.195090322016,0.15635760487,0.0781788024352,1,0.195090322016,0.0781788024352,1,0.0074251832572,0.0074251832572
0.196349540849,0.5,0.0380602337444,0.195090322016,0.15635760487,0.0781788024352,0.778800783071,0.151936495556,0.0220999748817,0.282685001475,0.0074251832572,0.00209898794001
0.196349540849,1,0.0380602337444,0.195090322016,0.15635760487,0.0781788024352,0.606530659713,0.118328261716,0.0116730905008,0.149312731037,0.0074251832572,0.00110867439058
0.196349540849,2,0.0380602337444,0.195090322016,0.15635760487,0.0781788024352,0.367879441171,0.0717697186413,0.00389449605672,0.0498152432042,0.0074251832572,0.000369887309793
0.196349540849,4,0.0380602337444,0.195090322016,0.15635760487,0.0781788024352,0.135335283237,0.0264026039868,0.000505894024648,0.00647098713321,0.0074251832572,4.8048265319e-05
0.392699081699,0,0.146446609407,0.382683432365,0.466653257302,0.233326628651,1,0.382683432365,0.233326628651,1,0.056042691146,0.056042691146
0.392699081699,0.5,0.146446609407,0.382683432365,0.466653257302,0.233326628651,0.778800783071,0.298034156794,0.0831475724995,0.356356978971,0.056042691146,0.0199712041102
0.392699081699,1,0.146446609407,0.382683432365,0.466653257302,0.233326628651,0.606530659713,0.232109234693,0.0444883718548,0.190669929583,0.056042691146,0.0106856559745
0.392699081699,2,0.146446609407,0.382683432365,0.466653257302,0.233326628651,0.367879441171,0.140781367244,0.0149439676988,0.0640474162131,0.056042691146,0.00358938956553
0.392699081699,4,0.146446609407,0.382683432365,0.466653257302,0.233326628651,0.135335283237,0.0517905707091,0.00194590470241,0.00833983122141,0.056042691146,0.000467386585351
0.589048622548,0,0.308658283817,0.55557023302,0.834064771244,0.417032385622,1,0.55557023302,0.417032385622,1,0.171481354664,0.171481354664
0.589048622548,0.5,0.308658283817,0.55557023302,0.834064771244,0.417032385622,0.778800783071,0.432678532527,0.170027717227,0.407708665057,0.171481354664,0.0699144341922
0.589048622548,1,0.308658283817,0.55557023302,0.834064771244,0.417032385622,0.606530659713,0.33697037995,0.0924940113002,0.221790955545,0.171481354664,0.038033013509
0.589048622548,2,0.308658283817,0.55557023302,0.834064771244,0.417032385622,0.367879441171,0.204382866855,0.0313690893868,0.0752197921992,0.171481354664,0.0128987918639
0.589048622548,4,0.308658283817,0.55557023302,0.834064771244,0.417032385622,0.135335283237,0.0751882548435,0.00409922963506,0.0098295235008,0.171481354664,0.00168558000562
0.785398163397,0,0.5,0.707106781187,1.20175207339,0.600876036693,1,0.707106781187,0.600876036693,1,0.353553390593,0.353553390593
0.785398163397,0.5,0.5,0.707106781187,1.20175207339,0.600876036693,0.778800783071,0.550695314903,0.266850100247,0.444101751362,0.353553390593,0.157013679962
0.785398163397,1,0.5,0.707106781187,1.20175207339,0.600876036693,0.606530659713,0.42888194248,0.147566078116,0.245584894562,0.353553390593,0.0868273721509
0.785398163397,2,0.5,0.707106781187,1.20175207339,0.600876036693,0.367879441171,0.260130047511,0.0505765611125,0.0841713731685,0.353553390593,0.0297590743746
0.785398163397,4,0.5,0.707106781187,1.20175207339,0.600876036693,0.135335283237,0.0956964965104,0.00663647978101,0.0110446737359,0.353553390593,0.00390488184734
0.981747704247,0,0.691341716183,0.831469612303,1.52838248518,0.76419124259,1,0.831469612303,0.76419124259,1,0.574829628723,0.574829628723
0.981747704247,0.5,0.691341716183,0.831469612303,1.52838248518,0.76419124259,0.778800783071,0.647549185161,0.358669079926,0.469344661305,0.574829628723,0.269793217401
0.981747704247,1,0.691341716183,0.831469612303,1.52838248518,0.76419124259,0.606530659713,0.504311812481,0.201117399414,0.263176791626,0.574829628723,0.151281817419
0.981747704247,2,0.691341716183,0.831469612303,1.52838248518,0.76419124259,0.367879441171,0.305880576325,0.0696086536054,0.0910880022249,0.574829628723,0.0523600825001
0.981747704247,4,0.691341716183,0.831469612303,1.52838248518,0.76419124259,0.135335283237,0.112527175484,0.00917074398554,0.0120005876467,0.574829628723,0.00689829334141
1.1780972451,0,0.853553390593,0.923879532511,1.78323720372,0.891618601858,1,0.923879532511,0.891618601858,1,0.788580507475,0.788580507475
1.1780972451,0.5,0.853553390593,0.923879532511,1.78323720372,0.891618601858,0.778800783071,0.719518103383,0.43322091228,0.4858814199,0.788580507475,0.383156616677
1.1780972451,1,0.853553390593,0.923879532511,1.78323720372,0.891618601858,0.606530659713,0.560361262349,0.245431760089,0.275265410096,0.788580507475,0.217068936783
1.1780972451,2,0.853553390593,0.923879532511,1.78323720372,0.891618601858,0.367879441171,0.33987628613,0.0856101345804,0.0960165416043,0.788580507475,0.0757167731043
1.1780972451,4,0.853553390593,0.923879532511,1.78323720372,0.891618601858,0.135335283237,0.125033498209,0.011316860152,0.0126924899597,0.788580507475,0.0100090501736
1.37444678595,0,0.961939766256,0.980785280403,1.94473696587,0.972368482934,1,0.980785280403,0.972368482934,1,0.943456363378,0.943456363378
1.37444678595,0.5,0.961939766256,0.980785280403,1.94473696587,0.972368482934,0.778800783071,0.763836344403,0.48156132937,0.495245719932,0.943456363378,0.467242725906
1.37444678595,1,0.961939766256,0.980785280403,1.94473696587,0.972368482934,0.606530659713,0.594876343159,0.274527127731,0.2823282866,0.943456363378,0.266364418554
1.37444678595,2,0.961939766256,0.980785280403,1.94473696587,0.972368482934,0.367879441171,0.360810740864,0.0962356285814,0.0989703289138,0.943456363378,0.0933741865993
1.37444678595,4,0.961939766256,0.980785280403,1.94473696587,0.972368482934,0.135335283237,0.132734853718,0.0127496619703,0.0131119654679,0.943456363378,0.0123705672571
1.57079632679,0,1,1,2,1,1,1,1,1,1,1
1.57079632679,0.5,1,1,2,1,0.778800783071,0.778800783071,0.498278086625,0.498278086625,1,0.498278086625
1.57079632679,1,1,1,2,1,0.606530659713,0.606530659713,0.284650833289,0.284650833289,1,0.284650833289
1.57079632679,2,1,1,2,1,0.367879441171,0.367879441171,0.0999544084765,0.0999544084765,1,0.0999544084765
1.57079632679,4,1,1,2,1,0.135335283237,0.135335283237,0.0132525699603,0.0132525699603,1,0.0132525699603
