world_persistence,passive_accuracy,feedback_accuracy,accuracy_gain,passive_MI_bits,feedback_MI_bits,MI_gain_bits
0.5,0.726275,0.72627,-0.000005000000000032756,0.1532347335125296,0.1532353070157198,0.0000005735031902159466
0.7,0.72642,0.763525,0.037105000000000055,0.15344262668549263,0.21086774802618546,0.05742512134069283
0.9,0.725885,0.813685,0.08779999999999999,0.15268934351139052,0.3063119406474004,0.1536225971360099
0.97,0.726995,0.836535,0.10954000000000008,0.1542364827155682,0.35740710822541644,0.20317062550984824
